college,n,pct_groen,pct_oranje,pct_rood,woorden_median,woorden_mean,actoren_median,actoren_mean
Commissie insolventierecht - tijdelijk I,1,100.0,0.0,0.0,1751.0,1751.0,4.0,4.0
Commissie herziening wetgeving ambtsdelicten Kamerleden en bewindspersonen,1,100.0,0.0,0.0,78604.0,78604.0,9.0,9.0
Commissie herijking tarieven ambtshandelingen gerechtsdeurwaarders - III,1,0.0,100.0,0.0,20984.0,20984.0,14.0,14.0
Commissie herijking tarieven ambtshandelingen gerechtsdeurwaarders - II,1,0.0,100.0,0.0,20984.0,20984.0,13.0,13.0
Commissie Toekomst Overheidscommunicatie,1,0.0,100.0,0.0,28667.0,28667.0,15.0,15.0
Commissie herijking tarieven ambtshandelingen gerechtsdeurwaarders - I,1,100.0,0.0,0.0,20984.0,20984.0,10.0,10.0
Commissie feitenonderzoek,1,0.0,100.0,0.0,184265.0,184265.0,64.0,64.0
Commissie evaluatie puntentoekenning gesubsidieerde rechtsbijstand - I,1,100.0,0.0,0.0,77195.0,77195.0,19.0,19.0
Commissie evaluatie Wet veiligheidsregio’s,1,100.0,0.0,0.0,68982.0,68982.0,14.0,14.0
Commissie doorstroomvennootschappen,1,100.0,0.0,0.0,44791.0,44791.0,8.0,8.0
Commissie advocatuur,1,100.0,0.0,0.0,24236.0,24236.0,10.0,10.0
Commissie Uitdragen kernwaarden van de rechtsstaat,1,100.0,0.0,0.0,31565.0,31565.0,8.0,8.0
Gecombineerde Commissie Vennootschapsrecht,1,100.0,0.0,0.0,4567.0,4567.0,4.0,4.0
Evaluatiecommissie Wet veiligheidsregio’s en het stelsel van rampenbestrijding en crisisbeheersing,1,0.0,0.0,100.0,21901.0,21901.0,28.0,28.0
Evaluatiecommissie Wet op de inlichtingen- en veiligheidsdiensten 2017,1,0.0,100.0,0.0,74225.0,74225.0,22.0,22.0
Evaluatiecommissie Wet op de inlichtingen- en veiligheidsdiensten 2002,1,0.0,100.0,0.0,74456.0,74456.0,15.0,15.0
Commissie van wijzen inzake hulp bij zelfdoding aan mensen die hun leven voltooid achten,1,0.0,100.0,0.0,86723.0,86723.0,9.0,9.0
Commissie vergemakkelijking schadeafhandeling beroepsziekten,1,0.0,100.0,0.0,26298.0,26298.0,19.0,19.0
Commissie van advies inzake de waterstaatswetgeving - tijdelijk III,1,100.0,0.0,0.0,9402.0,9402.0,7.0,7.0
Commissie van advies inzake de waterstaatswetgeving - tijdelijk II,1,100.0,0.0,0.0,5599.0,5599.0,9.0,9.0
Raad voor de Wadden,1,100.0,0.0,0.0,2141.0,2141.0,3.0,3.0
Platform Onderwijs 2032,1,100.0,0.0,0.0,16130.0,16130.0,13.0,13.0
Raad van deskundigen voor de nationale meetstandaarden,1,0.0,100.0,0.0,18687.0,18687.0,18.0,18.0
Onderzoekscommissie Langdurig verblijvende vreemdelingen zonder bestendig verblijfsrecht,1,0.0,100.0,0.0,81793.0,81793.0,22.0,22.0
Nederlandse Sportraad - tijdelijk,1,100.0,0.0,0.0,2547.0,2547.0,4.0,4.0
Nationale conventie,1,0.0,100.0,0.0,17871.0,17871.0,3.0,3.0
Onafhankelijke Commissie Toekomst Arbeidsongeschiktheidsstelsel,1,100.0,0.0,0.0,41176.0,41176.0,8.0,8.0
Commissie van advies inzake volkenrechtelijke vraagstukken,1,100.0,0.0,0.0,21695.0,21695.0,0.0,0.0
Curriculumcommissie,1,100.0,0.0,0.0,11435.0,11435.0,9.0,9.0
Commissie verzekeraars,1,0.0,100.0,0.0,32753.0,32753.0,17.0,17.0
Evaluatiecommissie Stad en Milieu,1,100.0,0.0,0.0,19135.0,19135.0,4.0,4.0
Evaluatie- en adviescommissie Wet financiering politieke partijen,1,0.0,100.0,0.0,37981.0,37981.0,12.0,12.0
Staatscommissie Grondwet,1,100.0,0.0,0.0,53325.0,53325.0,7.0,7.0
Staatscommissie MDMA,1,100.0,0.0,0.0,80792.0,80792.0,23.0,23.0
Staatscommissie Dualisme en lokale democratie,1,0.0,100.0,0.0,229135.0,229135.0,21.0,21.0
Review Board Aanvalsprogramma Informatievoorziening Politie - eenmalig,1,100.0,0.0,0.0,3653.0,3653.0,4.0,4.0
Taskforce (her)ontwikkeling bedrijventerreinen,1,0.0,100.0,0.0,25507.0,25507.0,11.0,11.0
Stuurgroep Evaluatie Politieorganisatie,1,0.0,100.0,0.0,63694.0,63694.0,20.0,20.0
Staatscommissie parlementair stelsel,1,100.0,0.0,0.0,117441.0,117441.0,33.0,33.0
Staatscommissie herijking ouderschap,1,100.0,0.0,0.0,202709.0,202709.0,12.0,12.0
Staatscommissie Rechtsstaat,1,0.0,100.0,0.0,100206.0,100206.0,28.0,28.0
Staatscommissie demografische ontwikkelingen 2050,1,100.0,0.0,0.0,121094.0,121094.0,27.0,27.0
Tijdelijke adviescommissie vermogenspositie universiteiten,1,0.0,100.0,0.0,32699.0,32699.0,13.0,13.0
Taskforce Samenwerking Onderwijs en Kinderopvang,1,100.0,0.0,0.0,18177.0,18177.0,15.0,15.0
adviescommissie Toekomst zorg thuiswonende ouderen,1,100.0,0.0,0.0,24390.0,24390.0,14.0,14.0
Taskforce infrastructuur klimaatakkoord industrie,1,0.0,100.0,0.0,10303.0,10303.0,7.0,7.0
Tijdelijk adviescollege Herkomst Kunstvoorwerpen WO-II,1,100.0,0.0,0.0,2896.0,2896.0,3.0,3.0
commissie duurzame kustontwikkeling,1,0.0,100.0,0.0,43677.0,43677.0,16.0,16.0
klankbordgroep ‘Verkenningen naar de toekomst van de krijgsmacht’,1,0.0,100.0,0.0,124312.0,124312.0,25.0,25.0
commissie fundamentele herbezinning Wsw,1,0.0,100.0,0.0,44694.0,44694.0,12.0,12.0
taskforce lijkschouw en gerechtelijke sectie,1,100.0,0.0,0.0,56237.0,56237.0,11.0,11.0
tijdelijke adviescommissie beloning en rechtspositie politieke ambtsdragers,1,0.0,100.0,0.0,13150.0,13150.0,16.0,16.0
