advies_id,unique_id,adviescollege_id,college,title,date_published,download_url,n_tokens
6700,Onderwijsraad_308,30,Onderwijsraad,Herkenbaar vmbo met sterk vakmanschap,2015-06-01,https://www.onderwijsraad.nl/site/binaries/site-content/collections/documents/2015/06/19/herkenbaar-vmbo-met-sterk-vakmanschap/Herkenbaar-vmbo-1.7.pdf,8000
6663,Onderwijsraad_263,30,Onderwijsraad,Vakmanschap voortdurend in beweging,2016-10-01,https://www.onderwijsraad.nl/site/binaries/site-content/collections/documents/2016/10/13/vakmanschap-voortdurend-in-beweging/Advies-Vakmanschap-voortdurend-in-beweging.pdf,8000
6616,Onderwijsraad_187,30,Onderwijsraad,Toets wijzer,2018-12-01,https://www.onderwijsraad.nl/site/binaries/site-content/collections/documents/2018/12/13/toets-wijzer/Toets-wijzer-internet.pdf,8000
6518,Onderwijsraad_103,30,Onderwijsraad,Essentie van extern toezicht,2022-03-01,https://www.onderwijsraad.nl/site/binaries/site-content/collections/documents/2022/03/23/essentie-van-extern-toezicht/Advies+Essentie+van+extern+toezicht.pdf,8000
7842,Raad_voor_Cultuur_827,31,Raad voor Cultuur,Het flexibele orkest,2010-02-18,https://www.raadvoorcultuur.nl/site/binaries/site-content/collections/documents/2010/02/18/advies-orkestenbestel/advies-Orkestenbestel.pdf,8000
7783,Raad_voor_Cultuur_714,31,Raad voor Cultuur,"Cultuureducatie: leren, creëren, inspireren!",2012-06-01,https://www.raadvoorcultuur.nl/site/binaries/site-content/collections/documents/2012/06/28/advies-cultuureducatie-leren-creeren-inspireren/advies-cultuureducatie.pdf,8000
7697,Raad_voor_Cultuur_675,31,Raad voor Cultuur,Ouderen en cultuur,2015-05-01,https://www.raadvoorcultuur.nl/site/binaries/site-content/collections/documents/2015/05/21/advies-ouderen-en-cultuur-kwestie-van-waarden/Ouderen-en-Cultuur-Een-kwestie-van-waarden.pdf,8000
7588,Raad_voor_Cultuur_578,31,Raad voor Cultuur,In wankel evenwicht,2018-04-01,https://www.raadvoorcultuur.nl/site/binaries/site-content/collections/documents/2018/04/19/advies-in-wankel-evenwicht/In-wankel-evenwicht-Sectoradvies-Musea.pdf,8000
7619,Raad_voor_Cultuur_574,31,Raad voor Cultuur,Ontwerp voor de toekomst,2018-09-01,https://www.raadvoorcultuur.nl/site/binaries/site-content/collections/documents/2018/09/09/advies-ontwerp-voor-de-toekomst/Ontwerp-voor-de-toekomst.pdf,8000
7573,Raad_voor_Cultuur_560,31,Raad voor Cultuur,Lees!,2019-06-01,https://www.raadvoorcultuur.nl/site/binaries/site-content/collections/documents/2019/07/25/advies-lees-een-oproep-tot-een-leesoffensief/Lees-Een-oproep-tot-een-leesoffensief.pdf,8000
7224,Raad_voor_Cultuur_198,31,Raad voor Cultuur,Onderweg naar overmorgen,2020-11-01,https://www.raadvoorcultuur.nl/site/binaries/site-content/collections/documents/2020/11/16/onderweg-naar-overmorgen/Onderweg+naar+overmorgen.pdf,8000
7183,Raad_voor_Cultuur_174,31,Raad voor Cultuur,Investeer in cultuur voor iedereen,2021-04-14,https://www.raadvoorcultuur.nl/site/binaries/site-content/collections/documents/2021/04/15/investeer-in-cultuur-voor-iedereen/Investeer+in+cultuur+voor+iedereen.pdf,3558
7157,Raad_voor_Cultuur_147,31,Raad voor Cultuur,Visie Collectie Nederland,2022-02-01,https://www.raadvoorcultuur.nl/site/binaries/site-content/collections/documents/2022/03/07/onvervangbaar--onmisbaar/Onvervangbaar+%26+Onmisbaar.pdf,8000
7168,Raad_voor_Cultuur_137,31,Raad voor Cultuur,Over de grens,2022-06-01,https://www.raadvoorcultuur.nl/site/binaries/site-content/collections/documents/2022/06/21/over-de-grens/Over+de+grens.pdf,8000
