case_id,advies_id,document_id,adviescollege_id,element_count
6526__6519,6526,6519,30,28
7849__7956,7849,7956,21,29
6483__6458,6483,6458,30,15
6854__6840,6854,6840,30,51
8037__8319,8037,8319,21,16
10817__10818,10817,10818,77,29
8001__8303,8001,8303,21,18
8037__8369,8037,8369,21,16
6210__6174,6210,6174,33,61
9521__9474,9521,9474,15,40
8013__8281,8013,8281,21,21
8025__8375,8025,8375,21,20
8004__8250,8004,8250,21,28
8000__8283,8000,8283,21,27
8020__8373,8020,8373,21,42
10802__10803,10802,10803,66,43
8018__8381,8018,8381,21,24
1499__1480,1499,1480,18,34
6723__6704,6723,6704,30,39
7846__7939,7846,7939,21,42
7848__7933,7848,7933,21,38
6733__6696,6733,6696,30,42
10863__10864,10863,10864,35,33
7987__8300,7987,8300,21,25
1560__1554,1560,1554,18,20
1481__1462,1481,1462,18,51
10816__10815,10816,10815,71,32
1571__1514,1571,1514,18,25
1511__1496,1511,1496,18,19
1469__1419,1469,1419,18,47
7982__8241,7982,8241,21,41
10861__10862,10861,10862,82,32
10867__10868,10867,10868,87,52
10848__10849,10848,10849,117,12
1574__1547,1574,1547,18,32
6630__6578,6630,6578,30,37
1521__1510,1521,1510,18,44
10865__10866,10865,10866,40,31
1571__1579,1571,1579,18,25
10856__10857,10856,10857,126,51
9127__9098,9127,9098,15,32
1571__1575,1571,1575,18,25
1507__1488,1507,1488,18,15
8028__8416,8028,8416,21,31
1630__1621,1630,1621,18,63
1568__1555,1568,1555,18,40
9771__10985,9771,10985,15,27
8003__8261,8003,8261,21,20
1534__1517,1534,1517,18,43
5543__5497,5543,5497,32,14
1626__1613,1626,1613,18,49
6194__6167,6194,6167,33,36
1629__1620,1629,1620,18,44
1595__1587,1595,1587,18,37
1614__1601,1614,1601,18,42
1664__1645,1664,1645,18,36
1690__1681,1690,1681,18,30
1859__1841,1859,1841,18,18
10858__10859,10858,10859,57,42
1670__1649,1670,1649,18,66
1695__1687,1695,1687,18,20
1713__1703,1713,1703,18,36
1727__1716,1727,1716,18,43
9546__9513,9546,9513,15,72
1669__1652,1669,1652,18,55
10008__9968,10008,9968,34,23
1696__1661,1696,1661,18,23
1732__1723,1732,1723,18,34
1675__1656,1675,1656,18,49
1616__1596,1616,1596,18,24
10096__11121,10096,11121,34,27
1708__1709,1708,1709,18,50
10799__10800,10799,10800,123,52
1743__1738,1743,1738,18,31
1758__1746,1758,1746,18,41
1733__1714,1733,1714,18,25
10871__10872,10871,10872,86,66
1700__1688,1700,1688,18,35
1676__1666,1676,1666,18,34
1732__1725,1732,1725,18,34
1721__1710,1721,1710,18,39
1686__1679,1686,1679,18,46
1591__1546,1591,1546,18,75
